city_id:ID(cities),city
0,wilmington
1,newark
2,newcastle
3,claymont
4,greenville
5,hockessin
6,talleyville
7,pikecreek
8,newport
9,christiana
10,wilmingtonmanor
11,trolleysquare
12,elsmere
13,marshallton
14,glenmills
15,montchanin
16,stanton
17,aston
